RA,Genero,Fase,Defasagem,Pedra,IAN,IDA,IEG,IAA,IPS,IPV,INDE,IPP,AnoRef
80,Feminino,5,-1,Ametista,5.0,7.1,8.3,9.2,5.0,7.625,7.29,8.75,2022
81,Feminino,5,1,Ametista,10.0,6.0,9.2,9.2,5.0,7.458,7.675,7.65625,2022
81,Feminino,5,1,Ametista,10.0,6.0,9.2,9.2,5.0,7.458,7.675,7.8125,2022
81,Feminino,5,1,Ametista,10.0,6.0,9.2,9.2,5.0,7.458,7.675,7.875,2022
82,Feminino,5,-2,Ágata,5.0,5.5,6.8,8.8,7.5,6.417,6.596,7.40625,2022
83,Feminino,5,-2,Ágata,5.0,6.8,6.8,7.9,7.5,5.958,6.671,7.2708333334,2022
84,Feminino,5,-2,Ágata,5.0,5.8,8.8,7.1,5.0,6.75,6.682,7.5,2022
84,Feminino,5,-2,Ágata,5.0,5.8,8.8,7.1,5.0,6.75,6.682,7.8125,2022
85,Masculino,5,0,Ágata,10.0,4.3,7.3,6.7,5.0,5.833,6.243,5.8854166666,2022
85,Masculino,5,0,Ágata,10.0,4.3,7.3,6.7,5.0,5.833,6.243,5.9375,2022
85,Masculino,5,0,Ágata,10.0,4.3,7.3,6.7,5.0,5.833,6.243,6.25,2022
86,Masculino,5,-1,Ametista,5.0,6.7,9.6,7.5,5.6,8.458,7.566,7.28125,2022
86,Masculino,5,-1,Ametista,5.0,6.7,9.6,7.5,5.6,8.458,7.566,7.5,2022
87,Masculino,5,0,Topázio,10.0,8.8,9.6,8.3,7.5,8.5,8.712,8.34375,2022
87,Masculino,5,0,Topázio,10.0,8.8,9.6,8.3,7.5,8.5,8.712,8.125,2022
87,Masculino,5,0,Topázio,10.0,8.8,9.6,8.3,7.5,8.5,8.712,9.375,2022
88,Masculino,5,-2,Ametista,5.0,6.5,9.2,7.1,5.6,9.208,7.498,7.78125,2022
89,Masculino,5,-1,Ametista,5.0,5.9,7.8,9.6,7.5,8.0,7.323,7.3125,2022
89,Masculino,5,-1,Ametista,5.0,5.9,7.8,9.6,7.5,8.0,7.323,7.34375,2022
90,Feminino,5,2,Topázio,10.0,8.5,9.7,10.0,9.4,9.75,9.442,8.7083333334,2022
90,Feminino,5,2,Topázio,10.0,8.5,9.7,10.0,9.4,9.75,9.442,8.59375,2022
90,Feminino,5,2,Topázio,10.0,8.5,9.7,10.0,9.4,9.75,9.442,7.5,2022
91,Feminino,5,-1,Ágata,5.0,6.6,5.7,9.2,5.6,7.125,6.645,7.65625,2022
91,Feminino,5,-1,Ágata,5.0,6.6,5.7,9.2,5.6,7.125,6.645,7.8125,2022
91,Feminino,5,-1,Ágata,5.0,6.6,5.7,9.2,5.6,7.125,6.645,7.875,2022
92,Feminino,5,-1,Ágata,5.0,7.4,7.1,9.2,5.0,6.667,6.957,7.59375,2022
92,Feminino,5,-1,Ágata,5.0,7.4,7.1,9.2,5.0,6.667,6.957,7.1875,2022
92,Feminino,5,-1,Ágata,5.0,7.4,7.1,9.2,5.0,6.667,6.957,7.8125,2022
93,Feminino,5,0,Topázio,10.0,8.5,9.7,8.3,8.1,9.083,8.941,8.53125,2022
93,Feminino,5,0,Topázio,10.0,8.5,9.7,8.3,8.1,9.083,8.941,7.5,2022
94,Feminino,5,0,Topázio,10.0,7.7,9.6,8.3,8.1,9.583,8.921,8.59375,2022
94,Feminino,5,0,Topázio,10.0,7.7,9.6,8.3,8.1,9.583,8.921,8.75,2022
94,Feminino,5,0,Topázio,10.0,7.7,9.6,8.3,8.1,9.583,8.921,8.375,2022
95,Feminino,5,-2,Ágata,5.0,4.8,6.6,8.3,7.5,6.292,6.308,7.40625,2022
96,Masculino,5,-1,Ametista,5.0,6.7,7.8,9.2,6.9,8.5,7.54,7.5,2022
96,Masculino,5,-1,Ametista,5.0,6.7,7.8,9.2,6.9,8.5,7.54,7.65625,2022
97,Feminino,5,0,Ametista,10.0,6.9,8.8,7.5,5.0,6.292,7.468,7.5,2022
98,Feminino,5,0,Topázio,10.0,8.5,10.0,8.8,9.4,9.667,9.354,8.729166666600001,2022
98,Feminino,5,0,Topázio,10.0,8.5,10.0,8.8,9.4,9.667,9.354,7.5,2022
99,Masculino,5,-1,Ágata,5.0,5.0,6.3,8.8,7.5,5.833,6.158,7.21875,2022
99,Masculino,5,-1,Ágata,5.0,5.0,6.3,8.8,7.5,5.833,6.158,7.8125,2022
100,Feminino,4,1,Ametista,10.0,7.6,7.8,8.8,5.0,7.25,7.618,7.4375,2022
101,Feminino,4,-1,Ametista,5.0,7.6,8.3,7.9,7.5,6.833,7.305,7.6354166666,2022
102,Masculino,4,0,Ágata,10.0,5.7,7.7,6.7,6.9,6.0,6.922,6.260416666599999,2022
103,Feminino,4,1,Topázio,10.0,7.3,8.7,7.9,7.5,7.708,8.107,8.0625,2022
103,Feminino,4,1,Topázio,10.0,7.3,8.7,7.9,7.5,7.708,8.107,8.125,2022
103,Feminino,4,1,Topázio,10.0,7.3,8.7,7.9,7.5,7.708,8.107,7.875,2022
104,Masculino,4,-4,Ágata,2.5,3.7,8.7,7.9,7.5,6.708,6.315,6.875,2022
104,Masculino,4,-4,Ágata,2.5,3.7,8.7,7.9,7.5,6.708,6.315,5.625,2022
105,Masculino,4,-3,Ágata,2.5,6.7,8.2,7.9,5.6,7.417,6.846,7.3229166666,2022
106,Feminino,4,-1,Ametista,5.0,7.4,8.0,9.2,9.4,8.375,7.973,8.03125,2022
106,Feminino,4,-1,Ametista,5.0,7.4,8.0,9.2,9.4,8.375,7.973,7.03125,2022
106,Feminino,4,-1,Ametista,5.0,7.4,8.0,9.2,9.4,8.375,7.973,7.8125,2022
107,Feminino,4,-1,Ágata,5.0,4.6,6.4,7.5,7.5,6.5,6.258,7.53125,2022
107,Feminino,4,-1,Ágata,5.0,4.6,6.4,7.5,7.5,6.5,6.258,7.34375,2022
107,Feminino,4,-1,Ágata,5.0,4.6,6.4,7.5,7.5,6.5,6.258,7.5,2022
108,Feminino,4,-3,Quartzo,2.5,5.0,7.7,4.6,5.0,6.125,5.547,6.0625,2022
108,Feminino,4,-3,Quartzo,2.5,5.0,7.7,4.6,5.0,6.125,5.547,4.375,2022
109,Masculino,4,-2,Topázio,5.0,8.4,10.0,8.8,8.8,8.667,8.512,8.6145833332,2022
109,Masculino,4,-2,Topázio,5.0,8.4,10.0,8.8,8.8,8.667,8.512,8.75,2022
110,Masculino,4,0,Topázio,10.0,6.7,9.7,9.2,5.6,8.0,8.15,8.34375,2022
110,Masculino,4,0,Topázio,10.0,6.7,9.7,9.2,5.6,8.0,8.15,8.75,2022
110,Masculino,4,0,Topázio,10.0,6.7,9.7,9.2,5.6,8.0,8.15,7.5,2022
111,Feminino,4,1,Topázio,10.0,8.0,9.4,7.5,8.1,8.667,8.646,8.1875,2022
111,Feminino,4,1,Topázio,10.0,8.0,9.4,7.5,8.1,8.667,8.646,7.65625,2022
111,Feminino,4,1,Topázio,10.0,8.0,9.4,7.5,8.1,8.667,8.646,8.125,2022
112,Feminino,4,-1,Ametista,5.0,8.5,7.8,7.9,6.3,8.833,7.836,8.0729166666,2022
112,Feminino,4,-1,Ametista,5.0,8.5,7.8,7.9,6.3,8.833,7.836,7.96875,2022
112,Feminino,4,-1,Ametista,5.0,8.5,7.8,7.9,6.3,8.833,7.836,7.96875,2022
113,Feminino,4,-1,Quartzo,5.0,3.7,0.0,0.0,5.0,3.792,3.032,6.24375,2022
113,Feminino,4,-1,Quartzo,5.0,3.7,0.0,0.0,5.0,3.792,3.032,7.5,2022
114,Masculino,4,-2,Quartzo,5.0,5.3,6.3,7.9,7.5,5.0,5.894,6.5458333334,2022
114,Masculino,4,-2,Quartzo,5.0,5.3,6.3,7.9,7.5,5.0,5.894,7.5,2022
115,Feminino,4,-2,Quartzo,5.0,3.8,6.8,8.3,6.3,5.583,5.886,6.55,2022
115,Feminino,4,-2,Quartzo,5.0,3.8,6.8,8.3,6.3,5.583,5.886,7.34375,2022
115,Feminino,4,-2,Quartzo,5.0,3.8,6.8,8.3,6.3,5.583,5.886,6.75,2022
116,Feminino,4,-2,Ágata,5.0,5.9,8.1,5.8,6.3,7.792,6.854,7.59375,2022
